"filename", "language", "TypeScript", "SCSS", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\student-form\student-form.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\student-form\student-form.component.html", "HTML", 0, 0, 82, 0, 0, 0, 19, 101
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\student-form\student-form.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\student-form\student-form.component.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 12, 107
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\students-list\students-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\students-list\students-list.component.html", "HTML", 0, 0, 50, 0, 0, 0, 15, 65
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\students-list\students-list.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\students-list\students-list.component.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 13, 113
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\models\subjectGridModel.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\models\subjectModel.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\services\subjects.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\subjects\services\subjects.service.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 8, 32
